HIGH,LOW,OPEN,CLOSE,DATE_TIME
-1.065967826,-1.065116172,-1.065200856,-1.065800511,2000.01.04 17:45:00
-1.062955337,-1.066924071,-1.063995732,-1.068813326,2000.01.04 18:00:00
-1.065967826,-1.069334605,-1.068213664,-1.070018452,2000.01.04 18:15:00
-1.071390305,-1.08138727,-1.070021349,-1.070621015,2000.01.04 18:30:00
-1.068377816,-1.069334605,-1.071226472,-1.065197948,2000.01.04 18:45:00
-1.069582812,-1.071745138,-1.066405979,-1.074236393,2000.01.04 19:00:00
-1.067172821,-1.077771471,-1.074841842,-1.079056897,2000.01.04 19:15:00
-1.078017779,-1.08681097,-1.078457212,-1.087492779,2000.01.04 19:30:00
-1.085247751,-1.085605703,-1.088098198,-1.082069712,2000.01.04 19:45:00
-1.082837761,-1.080784637,-1.082675143,-1.081467149,2000.01.04 20:00:00
-1.074402793,-1.078374104,-1.08147002,-1.071223578,2000.01.04 20:15:00
-1.068980314,-1.072347771,-1.073636719,-1.074838956,2000.01.04 20:30:00
-1.073197798,-1.072347771,-1.073636719,-1.07363383,2000.01.04 20:45:00
-1.068980314,-1.069334605,-1.071829034,-1.070018452,2000.01.04 21:00:00
-1.068377816,-1.071745138,-1.070021349,-1.074236393,2000.01.04 21:15:00
-1.073197798,-1.072347771,-1.070021349,-1.070018452,2000.01.04 21:30:00
-1.070787807,-1.068129338,-1.071226472,-1.068210763,2000.01.04 21:45:00
-1.065967826,-1.065116172,-1.067611102,-1.063992822,2000.01.04 22:00:00
-1.065365328,-1.064513538,-1.062790609,-1.0676082,2000.01.04 22:15:00
-1.069582812,-1.068129338,-1.06700854,-1.071223578,2000.01.04 22:30:00
-1.073800296,-1.072347771,-1.07062391,-1.073031267,2000.01.04 22:45:00
-1.074402793,-1.071142504,-1.073034157,-1.073031267,2000.01.04 23:00:00
-1.073197798,-1.070539871,-1.071829034,-1.07363383,2000.01.04 23:15:00
-1.074402793,-1.074758304,-1.073034157,-1.076646645,2000.01.04 23:30:00
-1.077415282,-1.074758304,-1.076046965,-1.075441519,2000.01.04 23:45:00
-1.075607789,-1.072950404,-1.074841842,-1.073031267,2000.01.05 00:00:00
-1.075607789,-1.074155671,-1.072431595,-1.074838956,2000.01.05 00:15:00
-1.073800296,-1.075360937,-1.074841842,-1.075441519,2000.01.05 00:30:00
-1.075005291,-1.074758304,-1.076649527,-1.072428704,2000.01.05 00:45:00
-1.073800296,-1.075360937,-1.073034157,-1.077851771,2000.01.05 01:00:00
-1.078017779,-1.074155671,-1.076649527,-1.076044082,2000.01.05 01:15:00
-1.075607789,-1.074155671,-1.076649527,-1.074838956,2000.01.05 01:30:00
-1.076812784,-1.074758304,-1.075444403,-1.075441519,2000.01.05 01:45:00
-1.078620277,-1.076566204,-1.076046965,-1.075441519,2000.01.05 02:00:00
-1.076210286,-1.074155671,-1.076649527,-1.074236393,2000.01.05 02:15:00
-1.076812784,-1.074758304,-1.076649527,-1.076044082,2000.01.05 02:30:00
-1.077415282,-1.075963571,-1.075444403,-1.075441519,2000.01.05 02:45:00
-1.078620277,-1.074758304,-1.07785465,-1.076044082,2000.01.05 03:00:00
-1.078620277,-1.077168837,-1.076649527,-1.079056897,2000.01.05 03:15:00
-1.078017779,-1.077168837,-1.079662335,-1.078454334,2000.01.05 03:30:00
-1.078017779,-1.074758304,-1.075444403,-1.075441519,2000.01.05 03:45:00
-1.078017779,-1.074155671,-1.076649527,-1.076044082,2000.01.05 04:00:00
-1.079222775,-1.074758304,-1.076649527,-1.076044082,2000.01.05 04:15:00
-1.079222775,-1.074155671,-1.076649527,-1.076646645,2000.01.05 04:30:00
-1.078620277,-1.074155671,-1.076046965,-1.075441519,2000.01.05 04:45:00
-1.076812784,-1.075963571,-1.076649527,-1.07363383,2000.01.05 05:00:00
-1.070787807,-1.071745138,-1.074841842,-1.0676082,2000.01.05 05:15:00
-1.065967826,-1.065718805,-1.067611102,-1.063390259,2000.01.05 05:30:00
-1.06476283,-1.063308272,-1.063995732,-1.061582569,2000.01.05 05:45:00
-1.061147844,-1.061500372,-1.062790609,-1.064595385,2000.01.05 06:00:00
-1.062955337,-1.060295105,-1.062790609,-1.060980006,2000.01.05 06:15:00
-1.061750342,-1.060897739,-1.062790609,-1.062787696,2000.01.05 06:30:00
-1.062955337,-1.061500372,-1.064598294,-1.062185133,2000.01.05 06:45:00
-1.058737853,-1.061500372,-1.061585486,-1.058569754,2000.01.05 07:00:00
-1.060545346,-1.061500372,-1.057970116,-1.061582569,2000.01.05 07:15:00
-1.06235284,-1.062705638,-1.059777801,-1.060377443,2000.01.05 07:30:00
-1.055725365,-1.058487205,-1.060380362,-1.060377443,2000.01.05 07:45:00
-1.059340351,-1.062103005,-1.059777801,-1.060377443,2000.01.05 08:00:00
-1.034035448,-1.059089839,-1.060380362,-1.033262108,2000.01.05 08:15:00
-1.034035448,-1.041613473,-1.034470212,-1.038082612,2000.01.05 08:30:00
-1.032227955,-1.038600307,-1.038688143,-1.029646729,2000.01.05 08:45:00
-1.018370509,-1.029560808,-1.030854842,-1.023018536,2000.01.05 09:00:00
-1.015960518,-1.021123942,-1.023624102,-1.022415973,2000.01.05 09:15:00
-1.01294803,-1.021123942,-1.022418979,-1.01578778,2000.01.05 09:30:00
-1.012345532,-1.016302875,-1.017598486,-1.015185217,2000.01.05 09:45:00
-1.018973006,-1.026547641,-1.018201047,-1.026031351,2000.01.05 10:00:00
-1.026805476,-1.025945008,-1.027842033,-1.024826225,2000.01.05 10:15:00
-1.028010472,-1.028355541,-1.027842033,-1.027236477,2000.01.05 10:30:00
-1.030420462,-1.032573974,-1.029047157,-1.032659545,2000.01.05 10:45:00
-1.027407974,-1.031971341,-1.032662527,-1.031454419,2000.01.05 11:00:00
-1.031625458,-1.030766074,-1.032662527,-1.029044166,2000.01.05 11:15:00
-1.028612969,-1.027150274,-1.027842033,-1.02783904,2000.01.05 11:30:00
-1.029817965,-1.028958174,-1.027239472,-1.028441603,2000.01.05 11:45:00
-1.032227955,-1.031368707,-1.030854842,-1.032659545,2000.01.05 12:00:00
-1.032830453,-1.034381874,-1.032662527,-1.03567236,2000.01.05 12:15:00
-1.036445439,-1.03739504,-1.034470212,-1.038685175,2000.01.05 12:30:00
-1.037650435,-1.040408207,-1.040495828,-1.037480049,2000.01.05 12:45:00
-1.038252932,-1.037997674,-1.038688143,-1.037480049,2000.01.05 13:00:00
-1.037047937,-1.036189774,-1.036880458,-1.037480049,2000.01.05 13:15:00
-1.032227955,-1.037997674,-1.036277897,-1.032659545,2000.01.05 13:30:00
-1.029215467,-1.031971341,-1.031457403,-1.032659545,2000.01.05 13:45:00
-1.031625458,-1.034984507,-1.034470212,-1.032659545,2000.01.05 14:00:00
-1.021985495,-1.028958174,-1.030854842,-1.020005721,2000.01.05 14:15:00
-1.020178002,-1.018110775,-1.020611294,-1.019403158,2000.01.05 14:30:00
-1.022587992,-1.033176607,-1.024226664,-1.032659545,2000.01.05 14:45:00
-1.03102296,-1.036792407,-1.032059965,-1.038082612,2000.01.05 15:00:00
-1.037650435,-1.04101084,-1.036880458,-1.041095427,2000.01.05 15:15:00
-1.037650435,-1.038600307,-1.039290705,-1.038082612,2000.01.05 15:30:00
-1.03102296,-1.04462664,-1.039290705,-1.02783904,2000.01.05 15:45:00
-1.026202979,-1.030766074,-1.029047157,-1.031454419,2000.01.05 16:00:00
-1.034035448,-1.048845073,-1.03386765,-1.047121057,2000.01.05 16:15:00
-1.045482904,-1.047639806,-1.047726568,-1.042903116,2000.01.05 16:30:00
-1.043072914,-1.045229273,-1.043508636,-1.04772362,2000.01.05 16:45:00
-1.049097891,-1.059089839,-1.045918883,-1.058569754,2000.01.05 17:00:00
-1.053917872,-1.057884572,-1.058572677,-1.055556939,2000.01.05 17:15:00
-1.049700388,-1.051255606,-1.053752184,-1.050736435,2000.01.05 17:30:00
-1.051507881,-1.056076672,-1.051944499,-1.054351813,2000.01.05 17:45:00
-1.050302886,-1.053063506,-1.054957308,-1.050133872,2000.01.05 18:00:00
-1.048495393,-1.049447706,-1.050739376,-1.048928746,2000.01.05 18:15:00
-1.050905384,-1.051255606,-1.048931691,-1.048928746,2000.01.05 18:30:00
-1.044277909,-1.04643454,-1.049534253,-1.042903116,2000.01.05 18:45:00
-1.044880407,-1.044024006,-1.043508636,-1.047121057,2000.01.05 19:00:00
-1.047892895,-1.050652973,-1.047124006,-1.051338998,2000.01.05 19:15:00
-1.052110379,-1.053666139,-1.050739376,-1.055556939,2000.01.05 19:30:00
-1.051507881,-1.051858239,-1.054957308,-1.052544124,2000.01.05 19:45:00
-1.05452037,-1.053063506,-1.052547061,-1.054954376,2000.01.05 20:00:00
-1.055725365,-1.053666139,-1.054354746,-1.056159502,2000.01.05 20:15:00
-1.059340351,-1.066924071,-1.056162431,-1.0676082,2000.01.05 20:30:00
-1.063557835,-1.064513538,-1.06700854,-1.060980006,2000.01.05 20:45:00
-1.063557835,-1.063308272,-1.060982924,-1.063390259,2000.01.05 21:00:00
-1.063557835,-1.062103005,-1.062790609,-1.061582569,2000.01.05 21:15:00
-1.059942849,-1.060295105,-1.061585486,-1.05977488,2000.01.05 21:30:00
